author	ntokens
henrik21	51689
Hominem	51638
Limpfittz	51555
PLACEBOiSTiC	51433
elimicmat	51360
hxh	51215
Jafan89	51125
Ulf T	51042
Pallevante	50889
Megadeth	50777
konstapel	50771
Jokeiboy	50716
RetroBack	50640
No6	50448
Better_Half	50434
Ehfraim	50287
natogandalf	50247
ettkontobara	50139
guanta	50040
Lemasive	50036
174563	50019
On fire	49959
emilsund	49879
roxs	49812
Etchion	49808
Bolters	49737
felstavadd	49711
klyban	49647
744687	49639
pagerune	49598
Paijter	49533
Stormfire	49488
datajesus	49446
Phas	49428
h4xor	49418
Ollito	49392
azerbadjan	49387
Ovcharka	49386
-deviant-	49330
Cryx	49324
Fenjal888	49310
P.G	49243
TheAlamo	49238
F.K	49197
Tystnad	49196
Ompet	49159
Infinitiv86	49127
xintron	49103
FuckThePolice	49093
Ubi	49054
Bananarne	49037
AbrahamLincoln	48900
Peterlan	48837
pettson3816	48775
Kiwimannen	48732
Dinero	48648
MR	48536
davidlind	48482
Axelsander	48401
FillilutteN2	48334
impieteer	48305
Nattskenet	48302
Admare	48274
UncaScroogie	48207
Continental Op	48193
QP Cheese	48177
guggliano	48157
Sitkin	48125
Sorku	48115
claymann	48065
malkia	48061
Overmind	48036
kinesarsle	48014
slashing_sword	47959
kupster	47937
Irganox	47892
bjornebarn	47889
svennes20000000	47888
Dirty.	47848
Lanoo	47842
Moot	47837
526	47746
Podde	47740
RoaldDahl	47655
supermassive	47630
Mr Mojo Risin'	47592
buzifer	47586
peffe22	47427
tyse	47348
teren	47285
HeTZeR	47259
Zaira	47211
Adversarius	47201
temp0	47177
vote	47173
whiplashstalker	47096
Enterprise	47035
acw	46970
Coolcitte	46963
ancide	46933
★★★	46831
SweFox	46704
MrJacksson	46633
MrFingal	46633
torrenttobbe	46541
Yollo	46517
TinFoilHat	46497
Drubas	46478
Apelsinen	46455
Etaro	46399
Lo	46357
kanula	46328
Putsch	46291
limpwald	46246
Ockstaerr	46229
sparv3n	45947
Naikon	45939
Fogelberg	45918
RiddareRalf	45806
den.femte.kaparen	45763
Ralle_	45763
BIRDIE13	45755
Napoleon	45662
Gurglaren	45634
Amiron	45532
Proffsen	45519
Artex	45448
Lurken1	45277
fysikmotor	45251
Linkert	45233
Geomeister	45225
N1rium	45200
Gimp_offer	45194
Buckshoota	45136
tältpinne	45135
Awwent	45128
Xexy	45072
Knuutby	45062
MultiHaXXXor	45056
Späk	45042
victoryous	45036
spuuunit	45016
Discovery	44937
Jingo	44851
Skater93	44839
Alltidxx	44779
JoelSUOMI	44769
Polyklorfenol	44727
kavalen2	44709
FifaUltimateTeam	44659
schill88	44619
SchackMatt	44596
RazER__	44497
Andersson93	44415
TheBurden	44408
SulFatrykarn	44385
WhaleMale	44294
Johan86	44293
GlennGBG	44267
Ghost.B.C	44262
Red-Panda	44113
Der_Richter	44099
gandihellfish	44056
peckapecan	44010
Raverlily	43997
Mr.Cookiepants	43958
Thedoit	43956
4-Gott	43950
Elak trollkarl	43896
losingyou	43892
1988	43771
sampanl	43763
/dev/jesus	43761
iHenked	43718
Hypnosos	43700
Knarkad	43695
Ultimatrix	43580
Forg	43554
cookiz	43495
Asgarvar	43484
Csharper	43423
qwerta	43400
Gromna	43359
Soffbord	43347
Tofsen	43276
skaliss	43265
derbicooling	43212
nielsen-	43191
supersmurfigt	43138
redlime	43113
mr-virro	43108
Plaguetongue	43101
Harry_	43093
Zabbo	43059
Peter77	43047
Sandman423	43039
ksv	43008
bugulu	42998
xeilon	42968
Ic3.C0ld	42928
Thorell	42908
Klaus Kinski	42901
Nait	42869
Bruunken	42866
tattoosandbeer	42806
i.b.m	42763
Jesus Kristus	42753
lill-me	42675
hybbe	42619
Screwattack	42534
zatanized	42515
Tampis	42501
West-en	42463
stribb	42414
Chandl3r	42371
NilssooonS	42351
Jahauus	42277
Kyoto	42180
Rokushiki	42175
spAix	42171
Nahibo	42168
Ugly_Bob	42103
AzZ0r	42100
erkanperkan	42099
Imiron	42054
sleinad	42046
Nagax	42017
scarlot	41983
CaptainC	41972
Roger Persson	41874
wallchar	41868
Sparky99	41839
ruscam	41827
Nidstang	41804
Fnima	41787
Plotti	41724
rjonsson	41716
Alvés	41711
Robinho82	41695
ImMcGyverLOL	41633
Ozzalbatrozz	41581
Mawizda	41574
help	41480
StarOnEarth	41455
wooten	41452
thooht	41390
RoyBatty	41327
Roadblock	41275
Akademikern	41187
LupusX	41165
BlueSwede	41158
flowlops	41149
WbZV	41142
Softar	41142
SwAxX	41135
h-user	41098
Sunner	41039
SuperMario	40989
Termosin	40848
µTorrent	40845
realFEZ	40821
Neksnor	40748
neurogen	40704
Paladin	40696
alrobert	40680
preben12	40667
hmflb	40641
FlyingMachine	40580
gobbegrogg	40565
Doffward	40542
MrSweeneyTodd	40438
goremachine	40432
S-cup	40417
Armadee	40306
-strife-	40297
Draugs Harg	40284
vivalaboeg	40265
Troll0lz	40255
Mrwomanizer	40226
goelen	40127
Berra777	40104
Tlagnoj	40074
ausradieren	40058
Hefaiston	40057
Jabbex	40037
estone	40036
understreck	39973
taszh	39815
gronbuske	39807
MyMars	39790
Hutz	39769
Bitsocker	39733
Robeloto	39731
Feverdog	39661
psq	39651
Diamondgrit	39614
carbson	39533
herr nagel	39513
PhantomBlot	39510
hecules	39510
King Grub	39459
Mansory	39436
Rasande-Rose	39399
GastenGusten	39359
Butterss	39359
J.G.R	39344
lsjoberg	39333
Jonas1968	39329
Koenigsegg	39305
gosa	39297
dobbelina	39280
Gottisborgen	39255
Danro80	39175
CommonKnowledge	39145
Hej_tjo	39127
begsjp	39126
Firewaia	39092
siaren	39065
Pussylover	39022
Nadini	39013
Herkulesbig	39002
PornKing	38967
FirstAids	38950
TechoNisse	38935
krijgenic	38916
Frozenhero	38902
prigas	38899
ric	38850
simplasche	38838
Arabies	38837
jumpcut	38812
Qweasd123	38793
dellhem	38780
Heinze	38749
Sujok	38713
Turisten	38704
Tjatter	38686
Cytech	38669
nedboy	38621
Flakon	38605
chippzy	38578
pereli	38536
boostankan	38433
entvå3	38414
Khorneflakes	38397
AlexxxZ	38374
Titus pollo	38339
HC47	38332
Benshie	38329
slrslr	38291
saftad_burk	38244
Svantesson666	38210
KusoYarou	38203
Mr_Crowley	38193
Balthazaer-	38106
Nizo	38049
hoaxen	38043
lanzer	38040
Essentia	38012
Bluebeast72	38012
Quellcrist	38004
Lensflare	37970
kasstkniw	37961
Mackie	37920
Assyren	37903
.:Pimp:.	37891
thrown-out	37882
poppan	37868
Carcass	37860
nilltre	37851
Jens86	37714
Airees	37678
TheVeryUberEnd	37673
T.H.G	37559
macknu	37533
Duerfian	37525
lidden	37519
Arkhon	37503
kissekattt	37478
Danny Gomez	37422
PsycholicRave	37406
Thuggelito	37359
Sproxx	37313
Joonc	37312
Rosesred	37299
urandom	37281
leathur_l	37277
Urandir	37277
Mx_1337	37276
Kweli	37217
Straiter	37211
Ajajaj	37153
Omegaman	37055
iTomG	37035
RaZoR1394	37024
Reggato	37000
Risplockarn	36943
Redax	36919
Tvond	36874
mickes418	36860
turkbygge	36823
chrilloo	36820
acura	36781
Jontalinen	36751
john13371337	36700
Moridin2002	36681
kodknack	36672
Iradieh	36655
Mysfarbrorn-	36618
Mikie	36577
Zeds	36559
PungPillaren	36557
soer	36507
aina08	36502
borjeg	36458
terminator t-x	36456
Denom	36424
hultas	36408
tomten_på_lofte	36405
Hertzegovina	36345
Kylvara	36322
Niggers	36307
KentSvensson	36297
Careless	36245
rovbin84	36221
obyn	36218
Me0w	36209
JollyRogers	36206
Not_me	36196
MiniGangster	36160
Germania	36154
HankTheTank	36144
Infinitum	36119
BananKartell	36117
Mullvaden	36099
Fernet	36057
korq	35999
flback	35988
LVX156	35988
Rouko	35979
Deedle	35957
MrDepleted	35954
Insignificunt	35854
Ufc123	35853
Koreanskbot	35823
Drapåtrissor	35801
Pieorpaj	35785
pedobear84	35698
Soda_Popinski	35686
Antt	35666
Davve	35651
kalkryggar	35636
Petronius	35620
Froboo	35608
ChristianX	35511
diskhanduk	35505
JagSkrev	35484
kak	35469
swimmingpool	35468
nicke157	35458
cyberrascal	35438
shma	35388
vonOlof	35366
Nypan-sr	35321
mesmo	35293
Puckott	35271
Caputski	35229
Smagg	35228
ante9423	35212
..FAN..	35199
Tubes	35169
Jassja	35153
xeetstah	35148
cammo	35053
sparlund	35024
Shuyin	35015
Hiki	35011
AngelHacker	34998
Randomdude34	34997
Tjippmunk	34992
fredricos	34983
fnirp	34919
Sletenkatt	34919
Piwone	34804
Dryckeshorn	34766
wzbz	34725
dire	34718
Hojte	34703
nollan	34695
jesper98.	34663
skunkensune	34644
Bob Lunta	34623
steklof	34622
DanteAlighieri	34616
konstit	34604
JTK	34575
mrgangster655	34565
Hummler	34519
LilleKlump	34466
Oea	34397
Lee Sterling	34378
Poopo	34377
Kyrios	34347
ztlohnierb	34340
Ja!	34330
AutumnInNewYork	34328
improwise	34310
PG-k	34276
Zaedrews	34206
Afrokamel	34206
MyZt|pettson	34205
Phenom82	34191
Babovand	34177
Andy_yngel	34083
vanlig2012	34040
Lyckholm	34002
Caspern50	33975
Daudodidi	33940
Scanface	33914
behedwin	33892
Dantia	33872
Ondkvist	33871
-198	33857
neogeo	33852
vTrill	33827
Skit-Kjell	33815
Grön	33800
king_nilsson	33795
r0starN	33767
jabbe91	33767
mi:ne	33731
Detendasvartafaret	33720
MarioForPresident	33677
gummibooten	33675
KnäHunDeN	33666
Sweeper80	33642
VenGyr	33618
Smidvark	33615
Mia-Rovy	33594
Nekro.	33585
kylspray	33578
SniperJackal	33514
Paxoz	33511
juckjuck	33497
Direktdemokraterna	33442
Skabben	33414
edberg24	33401
cogito.ergosum	33390
Slitet-Golv	33376
Anti-WOG	33313
kaNjii	33312
utan.att.stanna	33303
PenisJuice	33285
Kassadin	33280
korp	33235
captaindoe	33232
MrTim	33231
Mr.Ness	33184
nnc	33178
dovAkin	33164
Herr Bökberg	33044
Motvillig 1.1	32989
zondar	32987
Notumlord	32987
Stig-Britt	32966
Dsndss	32942
Yamal	32927
skinner5000	32902
.Katla	32898
Sakrasonto	32875
timpan8	32871
John-Paul	32863
Silvermoon	32845
C - J	32830
rhdf	32828
Peter.Sthlm	32826
glorup	32788
ShazaM	32775
svinlaak	32709
Ceru	32709
Zuzyk	32681
key33	32649
ingenio	32616
WERY	32605
Grisbrottaren	32597
Deathwanderer	32596
RyssJävel	32593
Littlebear34	32575
Wertym	32543
backmeister	32540
cern	32517
Gabriel Knight	32515
cschrille	32511
eyyYo	32459
Jerkstore	32455
Jospan	32453
gurka500	32438
krillepille	32437
elgcrew	32418
Dejad	32384
Carloz	32360
x0r	32358
Gants	32336
fiskfisk	32297
Schampoflaskan	32283
Ozstriker	32274
zonedisk	32271
Ryne	32268
sybariten	32265
flesk	32246
kilus	32236
Worldwide	32218
zala'	32189
rehyptol	32168
.ZoeJane.	32140
htsolna08	32117
JohnRim	32112
Fargoth	32103
antezzz	32096
ShmotZ	32091
rahanjam	32074
Skyish	32073
orkarN	32063
f.d. pzhukke	32062
Evil Ed	32058
dll	32051
Sponsorn	31946
figoo	31934
Evil1	31911
slippy	31904
DJ-Emerald	31870
gläfs	31860
arkelöv	31846
carminaburana	31827
Svampspor	31785
rJbN	31774
ath0	31767
Mange*	31756
exztran	31753
AmpreX	31724
kvint	31721
Adam211	31703
Pippi Långstrmp	31700
BSW	31697
Palleman	31695
Novum	31667
majken_60	31661
Sllone	31659
World Of Robots	31656
